"Points:0","Points:1","Points:2","arc_length","p"
0.10307,0.02451,0,0.12187,-130.21
0.10412,0.024363,0,0.12293,-128.72
0.10516,0.024216,0,0.12398,-127.08
0.1062,0.02407,0,0.12503,-125.76
0.10725,0.023924,0,0.12608,-125.39
0.1083,0.023776,0,0.12714,-127.17
0.10907,0.023665,0,0.12792,-124.45
0.10984,0.023554,0,0.1287,-119.21
0.11086,0.023404,0,0.12973,-118.88
0.11186,0.023256,0,0.13075,-119.16
0.11288,0.023106,0,0.13177,-118.32
0.1139,0.022956,0,0.1328,-117.54
0.11491,0.022807,0,0.13383,-117.4
0.11592,0.022658,0,0.13485,-117.87
0.11683,0.022512,0,0.13577,-116.7
0.11775,0.022367,0,0.1367,-114.79
0.11866,0.022222,0,0.13762,-114
0.11958,0.022075,0,0.13855,-113.02
0.1205,0.021929,0,0.13948,-112.37
0.12149,0.02176,0,0.14049,-111.84
0.12247,0.021592,0,0.14148,-110.38
0.12346,0.021424,0,0.14248,-108.88
0.12445,0.021254,0,0.14349,-107.81
0.12543,0.021086,0,0.14449,-106.89
0.12642,0.020918,0,0.14549,-106.13
0.1274,0.02075,0,0.14648,-105.44
0.12838,0.020583,0,0.14747,-105.39
0.12936,0.020414,0,0.14847,-107.49
0.13011,0.020279,0,0.14923,-105.03
0.13085,0.020145,0,0.14998,-99.912
0.13192,0.019944,0,0.15107,-99.655
0.13299,0.019743,0,0.15217,-99.237
0.13407,0.019542,0,0.15327,-98.511
0.13524,0.019319,0,0.15446,-99.432
0.13615,0.019141,0,0.15538,-97.541
0.13705,0.018963,0,0.1563,-94.627
0.13796,0.018785,0,0.15722,-93.947
0.13887,0.018605,0,0.15815,-93.411
0.13978,0.018426,0,0.15908,-92.381
0.14068,0.018248,0,0.16,-91.394
0.14169,0.018039,0,0.16103,-90.791
0.1427,0.017829,0,0.16206,-89.86
0.1437,0.017621,0,0.16308,-88.626
0.1447,0.017414,0,0.1641,-87.692
0.14574,0.017186,0,0.16517,-86.642
0.14679,0.016956,0,0.16624,-85.023
0.14783,0.016727,0,0.16731,-83.556
0.14888,0.016499,0,0.16838,-82.353
0.14993,0.016269,0,0.16945,-81.91
0.15097,0.01604,0,0.17053,-81.967
0.15186,0.015835,0,0.17143,-80.308
0.15275,0.01563,0,0.17234,-77.657
0.15363,0.015424,0,0.17326,-76.348
0.1547,0.015165,0,0.17436,-75.555
0.15576,0.014908,0,0.17545,-74.081
0.15683,0.01465,0,0.17654,-72.378
0.1579,0.014391,0,0.17764,-71.049
0.15895,0.014135,0,0.17873,-70.227
0.15998,0.013873,0,0.17979,-68.844
0.161,0.01361,0,0.18085,-67.042
0.16203,0.013348,0,0.1819,-66.188
0.16297,0.013087,0,0.18288,-64.335
0.16392,0.012824,0,0.18387,-61.66
0.16487,0.012562,0,0.18485,-59.721
0.16581,0.012301,0,0.18583,-58.013
0.16676,0.012039,0,0.18681,-56.208
0.16771,0.011776,0,0.18779,-54.661
